procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 6  0      0 3574928 102240 2305900    0    0     0  1809 18797 34630 58  9 32  1  0  0 2026-09-09 09:54:38
 9  0      0 3600608 102240 2307176    0    0    10  2027 20889 36410 50  8 41  2  0  0 2026-09-09 09:54:43
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
12  0      0 3511032 102240 2308680    0    0     0  8316 19225 34670 56  9 33  1  0  0 2026-09-09 09:54:48
 1  0      0 3587036 102240 2309908    0    0     0  1843 20744 36421 50  8 41  1  0  0 2026-09-09 09:54:54
 2  0      0 3594016 102240 2311200    0    0     0  1904 20410 35251 50  7 41  2  0  0 2026-09-09 09:54:59
 1  0      0 3583896 102240 2312736    0    0     0  1864 18387 34297 62  9 27  1  0  0 2026-09-09 09:55:04
 2  0      0 3577836 102240 2314292    0    0     0  2600 19960 34555 50  8 41  1  0  0 2026-09-09 09:55:09
 2  1      0 3587592 102240 2315600    0    0     0  2102 19505 34999 57  9 32  1  0  0 2026-09-09 09:55:14
 2  0      0 3582100 102240 2317028    0    0     0  1910 20371 35751 49  8 41  1  0  0 2026-09-09 09:55:19
