Tue Sep  8 04:55:28 PM UTC 2026
flash-cloud-bench-consumer-1 4.35% 34.82MiB / 7.38GiB 15.9MB / 23.6MB
flash-cloud-bench-publisher-1 2.86% 34.91MiB / 7.38GiB 12.9MB / 18.8MB
flash-cloud-bench-simulator-1 3.17% 35.61MiB / 7.38GiB 14.3MB / 18.1MB
flash-cloud-bench-maintenance-1 23.36% 34.8MiB / 7.38GiB 239MB / 818MB
flash-cloud-bench-pgbouncer-1 8.58% 2.887MiB / 7.38GiB 414MB / 413MB
flash-cloud-bench-postgres-1 60.20% 169MiB / 7.38GiB 144MB / 279MB
flash-cloud-bench-kafka-1 6.15% 823.7MiB / 7.38GiB 10.6MB / 9.02MB
flash-cloud-bench-prometheus-1 0.37% 91.73MiB / 7.38GiB 2.92MB / 432kB
Tue Sep  8 04:59:41 PM UTC 2026
flash-cloud-bench-api-1 85.57% 99.84MiB / 7.38GiB 1.6GB / 1.05GB
flash-cloud-bench-redis-1 45.50% 64.35MiB / 7.38GiB 907MB / 1.54GB
flash-cloud-bench-consumer-1 7.47% 34.82MiB / 7.38GiB 16.6MB / 24.5MB
flash-cloud-bench-publisher-1 5.54% 34.91MiB / 7.38GiB 13.4MB / 19.5MB
flash-cloud-bench-simulator-1 2.94% 35.61MiB / 7.38GiB 14.7MB / 18.6MB
flash-cloud-bench-maintenance-1 3.48% 34.8MiB / 7.38GiB 246MB / 839MB
flash-cloud-bench-pgbouncer-1 5.29% 2.914MiB / 7.38GiB 426MB / 425MB
flash-cloud-bench-postgres-1 97.98% 169.4MiB / 7.38GiB 148MB / 287MB
flash-cloud-bench-kafka-1 31.47% 859.5MiB / 7.38GiB 11MB / 9.37MB
flash-cloud-bench-prometheus-1 0.01% 91.74MiB / 7.38GiB 2.99MB / 442kB
Tue Sep  8 04:59:53 PM UTC 2026
flash-cloud-bench-api-1 76.68% 100.7MiB / 7.38GiB 1.67GB / 1.1GB
flash-cloud-bench-redis-1 12.58% 64.26MiB / 7.38GiB 933MB / 1.61GB
flash-cloud-bench-consumer-1 7.73% 34.82MiB / 7.38GiB 17.2MB / 25.4MB
flash-cloud-bench-publisher-1 5.52% 34.91MiB / 7.38GiB 13.8MB / 20.1MB
flash-cloud-bench-simulator-1 3.01% 35.61MiB / 7.38GiB 15.1MB / 19MB
flash-cloud-bench-maintenance-1 3.94% 34.8MiB / 7.38GiB 252MB / 862MB
flash-cloud-bench-pgbouncer-1 5.64% 2.914MiB / 7.38GiB 438MB / 437MB
flash-cloud-bench-postgres-1 66.69% 169.8MiB / 7.38GiB 152MB / 295MB
flash-cloud-bench-kafka-1 93.12% 907.3MiB / 7.38GiB 11.4MB / 9.71MB
flash-cloud-bench-prometheus-1 0.35% 91.75MiB / 7.38GiB 3.09MB / 455kB
Tue Sep  8 05:00:05 PM UTC 2026
